I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32,I33,I34,I35,I36,I37
26.119047,90.666664,3.656366,44.639999,56.880001,2.820948,0.000000,0.000000,0.000000,134.097565,71.878052,3.612576,45.652172,57.478260,2.705758,163.904755,86.761902,2.585442,161.258072,81.483871,3.141275,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,28.830435,1091.325195,70.615425,1010.342896,-43.603271,1204.971558,0.000000,0.000000,0.000000,0.000000
26.119047,90.666664,3.656366,44.639999,56.880001,2.820948,0.000000,0.000000,0.000000,134.097565,71.878052,3.612576,45.652172,57.478260,2.705758,163.904755,86.761902,2.585442,161.258072,81.483871,3.141275,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,28.727125,1091.644165,70.505844,1009.138916,-43.637924,1205.666504,0.000000,0.000000,0.000000,0.000000
26.119047,90.666664,3.656366,44.639999,56.880001,2.820948,0.000000,0.000000,0.000000,134.097565,71.878052,3.612576,45.652172,57.478260,2.705758,163.904755,86.761902,2.585442,161.258072,81.483871,3.141275,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,28.660006,1091.853394,70.434471,1008.358276,-43.660423,1206.118408,0.000000,0.000000,0.000000,0.000000
26.119047,90.666664,3.656366,44.639999,56.880001,2.820948,0.000000,0.000000,0.000000,134.097565,71.878052,3.612576,45.652172,57.478260,2.705758,163.904755,86.761902,2.585442,161.258072,81.483871,3.141275,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,28.616392,1091.990234,70.388023,1007.851624,-43.675041,1206.412354,0.000000,0.000000,0.000000,0.000000
26.119047,90.666664,3.656366,44.639999,56.880001,2.820948,0.000000,0.000000,0.000000,134.097565,71.878052,3.612576,45.652172,57.478260,2.705758,163.904755,86.761902,2.585442,161.033340,81.300003,3.090194,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,28.588045,1092.079468,70.357803,1007.522705,-43.761017,1206.135254,0.000000,0.000000,0.000000,0.000000
26.119047,90.666664,3.656366,44.639999,56.880001,2.820948,0.000000,0.000000,0.000000,133.785721,71.047623,3.656366,45.260868,57.956520,2.705758,163.904755,85.761902,2.585442,161.033340,81.300003,3.090194,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,28.569626,1092.137573,70.106674,1009.390015,-43.900898,1204.706543,0.000000,0.000000,0.000000,0.000000
25.761906,90.714287,3.656366,43.961540,56.692307,2.876814,0.000000,0.000000,0.000000,133.785721,71.047623,3.656366,45.260868,57.956520,2.705758,163.904755,85.761902,2.585442,161.033340,81.300003,3.090194,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,28.506756,1095.236328,69.878548,1013.432617,-43.991997,1203.781616,0.000000,0.000000,0.000000,0.000000
25.761906,90.714287,3.656366,43.961540,56.692307,2.876814,0.000000,0.000000,0.000000,133.785721,71.047623,3.656366,45.260868,57.956520,2.705758,163.904755,85.761902,2.585442,161.033340,81.300003,3.090194,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,28.466085,1097.251221,69.731239,1016.068909,-44.051285,1203.182129,0.000000,0.000000,0.000000,0.000000
25.761906,90.714287,3.656366,43.961540,56.692307,2.876814,0.000000,0.000000,0.000000,133.785721,71.047623,3.656366,45.260868,57.956520,2.705758,163.904755,85.761902,2.585442,161.033340,81.300003,3.090194,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,28.439730,1098.561157,69.635895,1017.786011,-44.089855,1202.793091,0.000000,0.000000,0.000000,0.000000
25.761906,90.714287,3.656366,43.961540,56.692307,2.876814,0.000000,0.000000,0.000000,133.785721,71.047623,3.656366,45.260868,57.956520,2.705758,163.904755,85.761902,2.585442,161.033340,81.300003,3.090194,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,28.422628,1099.412720,69.574097,1018.903625,-44.114937,1202.540527,0.000000,0.000000,0.000000,0.000000
25.761906,90.714287,3.656366,43.961540,56.692307,2.876814,0.000000,0.000000,0.000000,133.785721,71.047623,3.656366,45.260868,57.956520,2.705758,163.904755,85.761902,2.585442,161.033340,81.300003,3.090194,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,28.411530,1099.966309,69.533997,1019.630737,-44.131252,1202.376465,0.000000,0.000000,0.000000,0.000000
25.761906,90.714287,3.656366,43.961540,56.692307,2.876814,0.000000,0.000000,0.000000,133.785721,71.047623,3.656366,45.260868,57.956520,2.705758,163.904755,85.761902,2.585442,160.371429,80.885712,3.337791,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,28.404322,1100.326172,69.507965,1020.103638,-44.173653,1199.705566,0.000000,0.000000,0.000000,0.000000
25.761906,90.714287,3.656366,43.961540,56.692307,2.876814,0.000000,0.000000,0.000000,133.547623,70.666664,3.656366,44.590908,58.636364,2.646284,164.000000,85.000000,2.459245,160.371429,80.885712,3.337791,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,28.399641,1100.560059,69.281746,1021.495056,-44.298481,1196.509644,0.000000,0.000000,0.000000,0.000000
25.250000,90.916664,3.385138,43.119999,56.439999,2.820948,0.000000,0.000000,0.000000,133.547623,70.666664,3.656366,44.590908,58.636364,2.646284,164.000000,85.000000,2.459245,160.371429,80.885712,3.337791,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,28.282326,1104.701172,69.074127,1024.738281,-44.379978,1194.435425,0.000000,0.000000,0.000000,0.000000
25.250000,90.916664,3.385138,43.119999,56.439999,2.820948,0.000000,0.000000,0.000000,133.547623,70.666664,3.656366,44.590908,58.636364,2.646284,164.000000,85.000000,2.459245,160.371429,80.885712,3.337791,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,28.206537,1107.395386,68.939873,1026.853638,-44.433094,1193.088379,0.000000,0.000000,0.000000,0.000000
25.250000,90.916664,3.385138,43.119999,56.439999,2.820948,0.000000,0.000000,0.000000,133.547623,70.666664,3.656366,44.590908,58.636364,2.646284,164.000000,85.000000,2.459245,160.371429,80.885712,3.337791,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,28.157475,1109.147705,68.852905,1028.231567,-44.467690,1192.213379,0.000000,0.000000,0.000000,0.000000
25.250000,90.916664,3.385138,43.119999,56.439999,2.820948,0.000000,0.000000,0.000000,133.547623,70.666664,3.656366,44.590908,58.636364,2.646284,164.000000,85.000000,2.459245,160.371429,80.885712,3.337791,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,28.125664,1110.287109,68.796501,1029.128540,-44.490204,1191.644897,0.000000,0.000000,0.000000,0.000000
25.250000,90.916664,3.385138,43.119999,56.439999,2.820948,0.000000,0.000000,0.000000,133.547623,70.666664,3.656366,44.590908,58.636364,2.646284,164.000000,85.000000,2.459245,160.371429,80.885712,3.337791,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,28.105024,1111.027954,68.759888,1029.712158,-44.504852,1191.275513,0.000000,0.000000,0.000000,0.000000
25.250000,90.916664,3.385138,43.119999,56.439999,2.820948,0.000000,0.000000,0.000000,133.547623,70.666664,3.656366,44.590908,58.636364,2.646284,164.000000,85.000000,2.459245,160.000000,80.599998,3.337791,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,28.091625,1111.509399,68.736122,1030.091675,-44.604137,1190.047363,0.000000,0.000000,0.000000,0.000000
25.250000,90.916664,3.385138,43.119999,56.439999,2.820948,0.000000,0.000000,0.000000,133.547623,70.666664,3.656366,44.590908,58.636364,2.646284,164.000000,85.000000,2.459245,160.000000,80.599998,3.337791,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,28.082920,1111.822510,68.720673,1030.338501,-44.668785,1189.250977,0.000000,0.000000,0.000000,0.000000
42.111111,56.222221,2.931615,24.631578,90.973686,3.477898,0.000000,0.000000,0.000000,133.292679,69.926826,3.612576,44.230770,59.153847,2.876814,164.000000,83.727272,2.646284,160.000000,80.599998,3.337791,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,68.452698,1047.595947,27.998360,1117.540039,-44.912518,1187.816162,0.000000,0.000000,0.000000,0.000000
42.111111,56.222221,2.931615,24.631578,90.973686,3.477898,0.000000,0.000000,0.000000,133.292679,69.926826,3.612576,44.230770,59.153847,2.876814,164.000000,83.727272,2.646284,160.000000,80.599998,3.337791,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,68.283188,1058.825195,27.943853,1121.257813,-45.071255,1186.895142,0.000000,0.000000,0.000000,0.000000
42.111111,56.222221,2.931615,24.631578,90.973686,3.477898,0.000000,0.000000,0.000000,133.292679,69.926826,3.612576,44.230770,59.153847,2.876814,164.000000,83.727272,2.646284,160.000000,80.599998,3.337791,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,68.174934,1066.129272,27.908617,1123.674927,-45.174568,1186.301270,0.000000,0.000000,0.000000,0.000000
42.111111,56.222221,2.931615,24.631578,90.973686,3.477898,0.000000,0.000000,0.000000,133.292679,69.926826,3.612576,44.230770,59.153847,2.876814,164.000000,83.727272,2.646284,160.000000,80.599998,3.337791,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.000000,68.105354,1070.878784,27.885798,1125.246216,-45.241772,1185.917358,0.000000,0.000000,0.000000,0.000000
